Date,Value
1975-12-31,214363088991.333
1976-01-31,218280721714.62
1976-02-29,221697528777.82297
1976-03-31,224280670481.956
1976-04-30,227961566707.923
1976-05-31,232826010338.0
1976-06-30,236320088991.281
1976-07-31,240745433792.337
1976-08-31,245529225510.50305
1976-09-30,250921401144.256
1976-10-31,255574558347.36
1976-11-30,259110069015.062
1976-12-31,265900384135.634
1977-01-31,266986673637.26996
1977-02-28,270110206233.97003
1977-03-31,276781065558.44293
1977-04-30,280083024308.678
1977-05-31,283516714750.068
1977-06-30,286536363442.365
1977-07-31,290532807151.34204
1977-08-31,295283142978.07294
1977-09-30,300058295264.986
1977-10-31,303499666338.41003
1977-11-30,309356648728.66895
1977-12-31,315514967363.506
1978-01-31,317731360229.239
1978-02-28,322037169484.552
1978-03-31,327264851491.992
1978-04-30,333355562665.106
1978-05-31,337729466015.781
1978-06-30,343381866049.068
1978-07-31,346755575055.367
1978-08-31,352101073822.10297
1978-09-30,359167010912.628
1978-10-31,365137206498.851
1978-11-30,371265856534.394
1978-12-31,382711938953.25903
1979-01-31,390503329553.8311
1979-02-28,391394282834.096
1979-03-31,398638952085.924
1979-04-30,401697187252.135
1979-05-31,408394428534.96
1979-06-30,419152464745.922
1979-07-31,426182945173.26495
1979-08-31,436430314918.38
1979-09-30,436345541659.97296
1979-10-31,442147565180.72095
1979-11-30,444586792109.179
1979-12-31,450196953579.268
1980-01-31,456276460008.313
1980-02-29,464317499746.398
1980-03-31,469454959670.47296
1980-04-30,476020772852.796
1980-05-31,479851528544.05
1980-06-30,481712317801.152
1980-07-31,487943338758.043
1980-08-31,494549715491.57104
1980-09-30,501954702749.931
1980-10-31,510698583851.8311
1980-11-30,520177083242.1671
1980-12-31,526034856962.4761
1981-01-31,537112748788.59686
1981-02-28,544908037563.42
1981-03-31,555207413057.228
1981-04-30,562328392811.984
1981-05-31,570184446397.74
1981-06-30,577389913767.698
1981-07-31,587829853448.132
1981-08-31,587797257662.098
1981-09-30,595764448710.626
1981-10-31,606464233230.854
1981-11-30,607055773834.5951
1981-12-31,614849185257.368
1982-01-31,616725115855.424
1982-02-28,623248466194.0121
1982-03-31,625487821342.8479
1982-04-30,637272614736.521
1982-05-31,644940287501.2151
1982-06-30,653701383935.0289
1982-07-31,659817843019.5961
1982-08-31,672445599371.2689
1982-09-30,680258367014.566
1982-10-31,687034855482.6799
1982-11-30,697185239893.1589
1982-12-31,721088953812.124
1983-01-31,714875842644.24
1983-02-28,722520320585.2009
1983-03-31,730347965568.0089
1983-04-30,743583997757.2179
1983-05-31,754591335949.5958
1983-06-30,765549733658.4038
1983-07-31,779738238094.829
1983-08-31,788925135931.4941
1983-09-30,798034675200.312
1983-10-31,811513497824.3829
1983-11-30,821846937012.0211
1983-12-31,843304987953.1489
1984-01-31,843346918300.3889
1984-02-29,854264041236.137
1984-03-31,863777609868.883
1984-04-30,876311600579.6838
1984-05-31,890972997766.774
1984-06-30,916309072119.555
1984-07-31,916018909916.3032
1984-08-31,929069047922.6472
1984-09-30,941248382797.1901
1984-10-31,957453062457.856
