observation_date,INDPROINDMISMEI
2013-07-01,93.66383
2013-08-01,95.03808
2013-09-01,95.51048
2013-10-01,93.93129
2013-11-01,94.50271
2013-12-01,94.74145
2014-01-01,95.96628
2014-02-01,96.02834
2014-03-01,95.87386
2014-04-01,97.41208
2014-05-01,97.28342
2014-06-01,98.17392
2014-07-01,98.97353
2014-08-01,98.13538
2014-09-01,98.95578
2014-10-01,94.47784
2014-11-01,101.36270
2014-12-01,98.68978
2015-01-01,98.09304
2015-02-01,98.86512
2015-03-01,98.18272
2015-04-01,98.11169
2015-05-01,98.91391
2015-06-01,98.98512
2015-07-01,100.45150
2015-08-01,101.42920
2015-09-01,100.79340
2015-10-01,103.42180
2015-11-01,101.62740
2015-12-01,102.13440
2016-01-01,102.45800
2016-02-01,102.17790
2016-03-01,103.03050
2016-04-01,104.28780
2016-05-01,105.64330
2016-06-01,107.00640
2016-07-01,105.69080
2016-08-01,104.88960
2016-09-01,105.72850
2016-10-01,108.24150
2016-11-01,106.26470
2016-12-01,104.89870
2017-01-01,105.75810
2017-02-01,107.05530
2017-03-01,107.44430
2017-04-01,108.01370
2017-05-01,108.27290
2017-06-01,106.70350
2017-07-01,106.91090
2017-08-01,110.03020
2017-09-01,110.55560
2017-10-01,110.08140
2017-11-01,115.10400
2017-12-01,112.79840
2018-01-01,113.24170
2018-02-01,114.38170
2018-03-01,113.14090
2018-04-01,112.72160
2018-05-01,112.48510
2018-06-01,114.78060
2018-07-01,113.57310
2018-08-01,115.38020
2018-09-01,116.27280
2018-10-01,119.16060
2018-11-01,115.29040
2018-12-01,115.45190
2019-01-01,114.72700
2019-02-01,114.48990
2019-03-01,116.26880
2019-04-01,116.12590
2019-05-01,117.85220
2019-06-01,116.79720
2019-07-01,118.54740
2019-08-01,114.05430
2019-09-01,111.00080
2019-10-01,111.20680
2019-11-01,117.99990
2019-12-01,115.45660
2020-01-01,117.09250
2020-02-01,116.47630
2020-03-01,94.19592
2020-04-01,49.61062
2020-05-01,79.07681
2020-06-01,97.29153
2020-07-01,105.68320
2020-08-01,106.15830
2020-09-01,112.18460
2020-10-01,116.36810
2020-11-01,116.11080
2020-12-01,117.46530
2021-01-01,116.75760
2021-02-01,116.60900
2021-03-01,116.70460
2021-04-01,115.89190
2021-05-01,101.10320
2021-06-01,110.95490
2021-07-01,117.84360
2021-08-01,119.63260
2021-09-01,117.32450
2021-10-01,121.34270
2021-11-01,116.98770
2021-12-01,118.58630
2022-01-01,119.00990
2022-02-01,117.98870
2022-03-01,119.24560
2022-04-01,123.88630
2022-05-01,120.85710
2022-06-01,125.16650
2022-07-01,120.57610
2022-08-01,118.46950
2022-09-01,121.35960
2022-10-01,116.35060
2022-11-01,125.81320
2022-12-01,124.91080
2023-01-01,125.61810
