Date,Value
2013-09-30,95.51048
2013-10-31,93.93129
2013-11-30,94.50271
2013-12-31,94.74145
2014-01-31,95.96628
2014-02-28,96.02834
2014-03-31,95.87386
2014-04-30,97.41208
2014-05-31,97.28342
2014-06-30,98.17392
2014-07-31,98.97353
2014-08-31,98.13538
2014-09-30,98.95578
2014-10-31,94.47784
2014-11-30,101.3627
2014-12-31,98.68978
2015-01-31,98.09304
2015-02-28,98.86512
2015-03-31,98.18272
2015-04-30,98.11169
2015-05-31,98.91391
2015-06-30,98.98512
2015-07-31,100.4515
2015-08-31,101.4292
2015-09-30,100.7934
2015-10-31,103.4218
2015-11-30,101.6274
2015-12-31,102.1344
2016-01-31,102.458
2016-02-29,102.1779
2016-03-31,103.0305
2016-04-30,104.2878
2016-05-31,105.6433
2016-06-30,107.0064
2016-07-31,105.6908
2016-08-31,104.8896
2016-09-30,105.7285
2016-10-31,108.2415
2016-11-30,106.2647
2016-12-31,104.8987
2017-01-31,105.7581
2017-02-28,107.0553
2017-03-31,107.4443
2017-04-30,108.0137
2017-05-31,108.2729
2017-06-30,106.7035
2017-07-31,106.9109
2017-08-31,110.0302
2017-09-30,110.5556
2017-10-31,110.0814
2017-11-30,115.104
2017-12-31,112.7984
2018-01-31,113.2417
2018-02-28,114.3817
2018-03-31,113.1409
2018-04-30,112.7216
2018-05-31,112.4851
2018-06-30,114.7806
2018-07-31,113.5731
2018-08-31,115.3802
2018-09-30,116.2728
2018-10-31,119.1606
2018-11-30,115.2904
2018-12-31,115.4519
2019-01-31,114.727
2019-02-28,114.4899
2019-03-31,116.2688
2019-04-30,116.1259
2019-05-31,117.8522
2019-06-30,116.7972
2019-07-31,118.5474
2019-08-31,114.0543
2019-09-30,111.0008
2019-10-31,111.2068
2019-11-30,117.9999
2019-12-31,115.4566
2020-01-31,117.0925
2020-02-29,116.4763
2020-03-31,94.19592
2020-04-30,49.61062
2020-05-31,79.07681
2020-06-30,97.29153
2020-07-31,105.6832
2020-08-31,106.1583
2020-09-30,112.1846
2020-10-31,116.3681
2020-11-30,116.1108
2020-12-31,117.4653
2021-01-31,116.7576
2021-02-28,116.609
2021-03-31,116.7046
2021-04-30,115.8919
2021-05-31,101.1032
2021-06-30,110.9549
2021-07-31,117.8436
2021-08-31,119.6326
2021-09-30,117.3245
2021-10-31,121.3427
2021-11-30,116.9877
2021-12-31,118.5863
2022-01-31,119.0099
2022-02-28,117.9887
2022-03-31,119.2456
2022-04-30,123.8863
2022-05-31,120.8571
2022-06-30,125.1665
2022-07-31,120.5761
2022-08-31,118.4695
2022-09-30,121.3596
2022-10-31,116.3506
2022-11-30,125.8132
2022-12-31,124.9108
2023-01-31,125.6181
